Subject,Start Date,Start Time,End Date,End Time
Fiorentina x Hellas Verona Fora - Campeonato Italiano,2025-02-23,09:00,2025-02-23,11:00
Fiorentina x Lecce Casa - Campeonato Italiano,2025-02-28,14:45,2025-02-28,16:45
Fiorentina x Panathinaikos Fora - UEFA Conference League,2025-03-06,,2025-03-06
Fiorentina x Napoli Fora - Campeonato Italiano,2025-03-09,10:00,2025-03-09,12:00
Fiorentina x Panathinaikos Casa - UEFA Conference League,2025-03-13,,2025-03-13
Fiorentina x Juventus Casa - Campeonato Italiano,2025-03-16,13:00,2025-03-16,15:00
Fiorentina x Atalanta Casa - Campeonato Italiano,2025-03-30,09:00,2025-03-30,11:00
Fiorentina x AC Milan Fora - Campeonato Italiano,2025-04-06,09:00,2025-04-06,11:00
Fiorentina x Parma Casa - Campeonato Italiano,2025-04-13,09:00,2025-04-13,11:00
Fiorentina x Cagliari Fora - Campeonato Italiano,2025-04-20,09:00,2025-04-20,11:00
Fiorentina x Empoli Casa - Campeonato Italiano,2025-04-27,09:00,2025-04-27,11:00
Fiorentina x AS Roma Fora - Campeonato Italiano,2025-05-04,09:00,2025-05-04,11:00
Fiorentina x Venezia Fora - Campeonato Italiano,2025-05-11,09:00,2025-05-11,11:00
Fiorentina x Bolonha Casa - Campeonato Italiano,2025-05-18,09:00,2025-05-18,11:00
Fiorentina x Udinese Fora - Campeonato Italiano,2025-05-25,09:00,2025-05-25,11:00
