Subject,Start Date,Start Time,End Date,End Time
Fluminense x Bangu Casa - Campeonato Carioca,2025-02-23,16:30,2025-02-23,18:30
Fluminense x Aguia de Maraba Fora - Copa do Brasil,2025-02-26,17:30,2025-02-26,19:30
Fluminense x Fortaleza Fora - Campeonato Brasileiro,2025-03-29,,2025-03-29
Fluminense x Red Bull Bragantino Casa - Campeonato Brasileiro,2025-04-05,,2025-04-05
Fluminense x Santos Casa - Campeonato Brasileiro,2025-04-12,,2025-04-12
Fluminense x Corinthians Fora - Campeonato Brasileiro,2025-04-16,,2025-04-16
Fluminense x Vitória Casa - Campeonato Brasileiro,2025-04-19,,2025-04-19
Fluminense x Botafogo Fora - Campeonato Brasileiro,2025-04-26,,2025-04-26
Fluminense x Sport Casa - Campeonato Brasileiro,2025-05-03,,2025-05-03
Fluminense x Atlético-MG Fora - Campeonato Brasileiro,2025-05-10,,2025-05-10
Fluminense x Juventude Fora - Campeonato Brasileiro,2025-05-17,,2025-05-17
Fluminense x Vasco da Gama Casa - Campeonato Brasileiro,2025-05-24,,2025-05-24
Fluminense x Internacional Fora - Campeonato Brasileiro,2025-05-30,,2025-05-30
Fluminense x Ceará Casa - Campeonato Brasileiro,2025-06-11,,2025-06-11
Fluminense x Borussia Dortmund Casa - FIFA - Mundial Interclubes,2025-06-17,12:00,2025-06-17,14:00
Fluminense x Ulsan Hyundai Casa - FIFA - Mundial Interclubes,2025-06-21,18:00,2025-06-21,20:00
Fluminense x Mamelodi Sundowns Fora - FIFA - Mundial Interclubes,2025-06-25,15:00,2025-06-25,17:00
Fluminense x Mirassol Fora - Campeonato Brasileiro,2025-07-12,,2025-07-12
Fluminense x Cruzeiro Casa - Campeonato Brasileiro,2025-07-16,,2025-07-16
Fluminense x Flamengo Fora - Campeonato Brasileiro,2025-07-19,,2025-07-19
Fluminense x Palmeiras Casa - Campeonato Brasileiro,2025-07-23,,2025-07-23
Fluminense x São Paulo Fora - Campeonato Brasileiro,2025-07-26,,2025-07-26
Fluminense x Grêmio Casa - Campeonato Brasileiro,2025-08-02,,2025-08-02
Fluminense x Bahia Fora - Campeonato Brasileiro,2025-08-09,,2025-08-09
Fluminense x Fortaleza Casa - Campeonato Brasileiro,2025-08-16,,2025-08-16
Fluminense x Red Bull Bragantino Fora - Campeonato Brasileiro,2025-08-23,,2025-08-23
Fluminense x Santos Fora - Campeonato Brasileiro,2025-08-30,,2025-08-30
Fluminense x Corinthians Casa - Campeonato Brasileiro,2025-09-13,,2025-09-13
Fluminense x Vitória Fora - Campeonato Brasileiro,2025-09-20,,2025-09-20
Fluminense x Botafogo Casa - Campeonato Brasileiro,2025-09-27,,2025-09-27
Fluminense x Sport Fora - Campeonato Brasileiro,2025-10-01,,2025-10-01
Fluminense x Atlético-MG Casa - Campeonato Brasileiro,2025-10-16,,2025-10-16
Fluminense x Juventude Casa - Campeonato Brasileiro,2025-10-25,,2025-10-25
Fluminense x Vasco da Gama Fora - Campeonato Brasileiro,2025-11-05,,2025-11-05
Fluminense x Internacional Casa - Campeonato Brasileiro,2025-11-19,,2025-11-19
Fluminense x Ceará Fora - Campeonato Brasileiro,2025-11-22,,2025-11-22
Fluminense x Mirassol Casa - Campeonato Brasileiro,2025-11-29,,2025-11-29
Fluminense x Cruzeiro Fora - Campeonato Brasileiro,2025-12-03,,2025-12-03
Fluminense x Flamengo Casa - Campeonato Brasileiro,2025-12-06,,2025-12-06
Fluminense x Palmeiras Fora - Campeonato Brasileiro,2025-12-10,,2025-12-10
Fluminense x São Paulo Casa - Campeonato Brasileiro,2025-12-13,,2025-12-13
Fluminense x Grêmio Fora - Campeonato Brasileiro,2025-12-17,,2025-12-17
Fluminense x Bahia Casa - Campeonato Brasileiro,2025-12-21,,2025-12-21
