Subject,Start Date,Start Time,End Date,End Time
Vasco da Gama x Santos Casa - Campeonato Brasileiro,2025-03-30,17:30,2025-03-30,19:30
Vasco da Gama x Melgar Fora - CONMEBOL Sudamericana,2025-04-02,18:00,2025-04-02,20:00
Vasco da Gama x Corinthians Fora - Campeonato Brasileiro,2025-04-05,17:30,2025-04-05,19:30
Vasco da Gama x Academia Puerto Cabello Casa - CONMEBOL Sudamericana,2025-04-08,20:30,2025-04-08,22:30
Vasco da Gama x Sport Casa - Campeonato Brasileiro,2025-04-12,20:00,2025-04-12,22:00
Vasco da Gama x Ceará Fora - Campeonato Brasileiro,2025-04-15,20:30,2025-04-15,22:30
Vasco da Gama x Flamengo Casa - Campeonato Brasileiro,2025-04-19,17:30,2025-04-19,19:30
Vasco da Gama x Lanús Casa - CONMEBOL Sudamericana,2025-04-22,20:30,2025-04-22,22:30
Vasco da Gama x Cruzeiro Fora - Campeonato Brasileiro,2025-04-27,17:30,2025-04-27,19:30
Vasco da Gama x Palmeiras Casa - Campeonato Brasileiro,2025-05-04,15:00,2025-05-04,17:00
Vasco da Gama x Academia Puerto Cabello Fora - CONMEBOL Sudamericana,2025-05-07,18:00,2025-05-07,20:00
Vasco da Gama x Vitória Fora - Campeonato Brasileiro,2025-05-10,17:30,2025-05-10,19:30
Vasco da Gama x Lanús Fora - CONMEBOL Sudamericana,2025-05-13,20:30,2025-05-13,22:30
Vasco da Gama x Fortaleza Casa - Campeonato Brasileiro,2025-05-17,17:30,2025-05-17,19:30
Vasco da Gama x Fluminense Fora - Campeonato Brasileiro,2025-05-24,17:30,2025-05-24,19:30
Vasco da Gama x Melgar Casa - CONMEBOL Sudamericana,2025-05-27,18:00,2025-05-27,20:00
Vasco da Gama x Red Bull Bragantino Casa - Campeonato Brasileiro,2025-05-31,20:00,2025-05-31,22:00
Vasco da Gama x São Paulo Fora - Campeonato Brasileiro,2025-06-12,20:30,2025-06-12,22:30
Vasco da Gama x Botafogo Casa - Campeonato Brasileiro,2025-07-12,,2025-07-12
Vasco da Gama x Juventude Fora - Campeonato Brasileiro,2025-07-16,,2025-07-16
Vasco da Gama x Grêmio Casa - Campeonato Brasileiro,2025-07-19,,2025-07-19
Vasco da Gama x Bahia Casa - Campeonato Brasileiro,2025-07-23,,2025-07-23
Vasco da Gama x Internacional Fora - Campeonato Brasileiro,2025-07-26,,2025-07-26
Vasco da Gama x Mirassol Fora - Campeonato Brasileiro,2025-08-02,,2025-08-02
Vasco da Gama x Atlético-MG Casa - Campeonato Brasileiro,2025-08-09,,2025-08-09
Vasco da Gama x Santos Fora - Campeonato Brasileiro,2025-08-16,,2025-08-16
Vasco da Gama x Corinthians Casa - Campeonato Brasileiro,2025-08-23,,2025-08-23
Vasco da Gama x Sport Fora - Campeonato Brasileiro,2025-08-30,,2025-08-30
Vasco da Gama x Ceará Casa - Campeonato Brasileiro,2025-09-13,,2025-09-13
Vasco da Gama x Flamengo Fora - Campeonato Brasileiro,2025-09-20,,2025-09-20
Vasco da Gama x Cruzeiro Casa - Campeonato Brasileiro,2025-09-27,,2025-09-27
Vasco da Gama x Palmeiras Fora - Campeonato Brasileiro,2025-10-01,,2025-10-01
Vasco da Gama x Vitória Casa - Campeonato Brasileiro,2025-10-16,,2025-10-16
Vasco da Gama x Fortaleza Fora - Campeonato Brasileiro,2025-10-25,,2025-10-25
Vasco da Gama x Fluminense Casa - Campeonato Brasileiro,2025-11-05,,2025-11-05
Vasco da Gama x Red Bull Bragantino Fora - Campeonato Brasileiro,2025-11-19,,2025-11-19
Vasco da Gama x São Paulo Casa - Campeonato Brasileiro,2025-11-22,,2025-11-22
Vasco da Gama x Botafogo Fora - Campeonato Brasileiro,2025-11-29,,2025-11-29
Vasco da Gama x Juventude Casa - Campeonato Brasileiro,2025-12-03,,2025-12-03
Vasco da Gama x Grêmio Fora - Campeonato Brasileiro,2025-12-06,,2025-12-06
Vasco da Gama x Bahia Fora - Campeonato Brasileiro,2025-12-10,,2025-12-10
Vasco da Gama x Internacional Casa - Campeonato Brasileiro,2025-12-13,,2025-12-13
Vasco da Gama x Mirassol Casa - Campeonato Brasileiro,2025-12-17,,2025-12-17
Vasco da Gama x Atlético-MG Fora - Campeonato Brasileiro,2025-12-21,,2025-12-21
